"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",89.76111,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",91.10512,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",92.67442,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.90362,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.72172,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.8473,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",106.4029,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",109.7682,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",113.1062,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",116.0336,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",119.5384,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",127.7814,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1965","1965","PC","Percentage","0","Units",,,1.585169,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1966","1966","PC","Percentage","0","Units",,,3.015075,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1967","1967","PC","Percentage","0","Units",,,2.772786,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1968","1968","PC","Percentage","0","Units",,,4.271796,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1969","1969","PC","Percentage","0","Units",,,5.462386,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1970","1970","PC","Percentage","0","Units",,,5.838255,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1971","1971","PC","Percentage","0","Units",,,4.292767,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1972","1972","PC","Percentage","0","Units",,,3.272278,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1973","1973","PC","Percentage","0","Units",,,6.17776,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1974","1974","PC","Percentage","0","Units",,,11.0548,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1975","1975","PC","Percentage","0","Units",,,9.143147,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1976","1976","PC","Percentage","0","Units",,,5.744812,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1977","1977","PC","Percentage","0","Units",,,6.501684,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1978","1978","PC","Percentage","0","Units",,,7.630964,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1979","1979","PC","Percentage","0","Units",,,11.25447,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1980","1980","PC","Percentage","0","Units",,,13.5492,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1981","1981","PC","Percentage","0","Units",,,10.33471,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1982","1982","PC","Percentage","0","Units",,,6.131427,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1983","1983","PC","Percentage","0","Units",,,3.212435,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1984","1984","PC","Percentage","0","Units",,,4.300536,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1985","1985","PC","Percentage","0","Units",,,3.545644,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1986","1986","PC","Percentage","0","Units",,,1.898048,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1987","1987","PC","Percentage","0","Units",,,3.664563,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1988","1988","PC","Percentage","0","Units",,,4.077741,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1989","1989","PC","Percentage","0","Units",,,4.827003,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1990","1990","PC","Percentage","0","Units",,,5.397956,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1991","1991","PC","Percentage","0","Units",,,4.234964,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1992","1992","PC","Percentage","0","Units",,,3.02882,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.951657,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.607442,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.80542,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.931204,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.33769,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,1.552279,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.188027,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.376857,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.826171,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.586032,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.270095,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.677237,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.392747,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.225944,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,2.852673,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.8391,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,-0.3555463,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.640043,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.156842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.069337,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.464833,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.622223,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.1186271,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.261583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.13011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.442583,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.81221,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.233584,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2021","2021","PC","Percentage","0","Units",,,4.697859,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2022","2022","PC","Percentage","0","Units",,,8.0028,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.497319,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.722521,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.405407,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.969429,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.331402,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.847277,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.457183,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.162829,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.040952,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,2.588173,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,3.020479,,
"USA","United States","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","GP","Percentage change from previous period","A","Annual","2022","2022","PC","Percentage","0","Units",,,6.89568,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1965","1965","IDX","Index","0","Units","2013M12_100","2013M12=100",14.33549,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1966","1966","IDX","Index","0","Units","2013M12_100","2013M12=100",15.0733,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1967","1967","IDX","Index","0","Units","2013M12_100","2013M12=100",15.01983,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1968","1968","IDX","Index","0","Units","2013M12_100","2013M12=100",15.50457,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1969","1969","IDX","Index","0","Units","2013M12_100","2013M12=100",16.26376,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1970","1970","IDX","Index","0","Units","2013M12_100","2013M12=100",17.07642,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1971","1971","IDX","Index","0","Units","2013M12_100","2013M12=100",17.48987,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1972","1972","IDX","Index","0","Units","2013M12_100","2013M12=100",18.26688,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1973","1973","IDX","Index","0","Units","2013M12_100","2013M12=100",21.24305,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1974","1974","IDX","Index","0","Units","2013M12_100","2013M12=100",24.39742,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1975","1975","IDX","Index","0","Units","2013M12_100","2013M12=100",26.41124,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1976","1976","IDX","Index","0","Units","2013M12_100","2013M12=100",26.97083,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1977","1977","IDX","Index","0","Units","2013M12_100","2013M12=100",28.57118,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1978","1978","IDX","Index","0","Units","2013M12_100","2013M12=100",31.57943,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1979","1979","IDX","Index","0","Units","2013M12_100","2013M12=100",34.994,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1980","1980","IDX","Index","0","Units","2013M12_100","2013M12=100",37.79195,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1981","1981","IDX","Index","0","Units","2013M12_100","2013M12=100",40.55426,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1982","1982","IDX","Index","0","Units","2013M12_100","2013M12=100",41.95145,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1983","1983","IDX","Index","0","Units","2013M12_100","2013M12=100",42.39698,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1984","1984","IDX","Index","0","Units","2013M12_100","2013M12=100",43.96526,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1985","1985","IDX","Index","0","Units","2013M12_100","2013M12=100",44.59614,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1986","1986","IDX","Index","0","Units","2013M12_100","2013M12=100",45.87215,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1987","1987","IDX","Index","0","Units","2013M12_100","2013M12=100",47.85388,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1988","1988","IDX","Index","0","Units","2013M12_100","2013M12=100",49.84987,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1989","1989","IDX","Index","0","Units","2013M12_100","2013M12=100",53.12543,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1990","1990","IDX","Index","0","Units","2013M12_100","2013M12=100",56.59347,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1991","1991","IDX","Index","0","Units","2013M12_100","2013M12=100",58.10116,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1992","1992","IDX","Index","0","Units","2013M12_100","2013M12=100",58.52174,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1993","1993","IDX","Index","0","Units","2013M12_100","2013M12=100",59.90468,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1994","1994","IDX","Index","0","Units","2013M12_100","2013M12=100",61.62622,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1995","1995","IDX","Index","0","Units","2013M12_100","2013M12=100",63.62221,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1996","1996","IDX","Index","0","Units","2013M12_100","2013M12=100",65.99602,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1997","1997","IDX","Index","0","Units","2013M12_100","2013M12=100",67.63914,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1998","1998","IDX","Index","0","Units","2013M12_100","2013M12=100",68.91872,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","1999","1999","IDX","Index","0","Units","2013M12_100","2013M12=100",70.23393,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2000","2000","IDX","Index","0","Units","2013M12_100","2013M12=100",71.80577,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2001","2001","IDX","Index","0","Units","2013M12_100","2013M12=100",74.15106,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2002","2002","IDX","Index","0","Units","2013M12_100","2013M12=100",75.11342,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2003","2003","IDX","Index","0","Units","2013M12_100","2013M12=100",76.72803,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2004","2004","IDX","Index","0","Units","2013M12_100","2013M12=100",79.63291,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2005","2005","IDX","Index","0","Units","2013M12_100","2013M12=100",81.16911,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2006","2006","IDX","Index","0","Units","2013M12_100","2013M12=100",82.59838,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2007","2007","IDX","Index","0","Units","2013M12_100","2013M12=100",86.07497,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2008","2008","IDX","Index","0","Units","2013M12_100","2013M12=100",91.58398,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2009","2009","IDX","Index","0","Units","2013M12_100","2013M12=100",92.01098,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",92.31551,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",96.74874,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",99.13239,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",100.0286,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",102.4369,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",103.6331,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",102.2596,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",102.0528,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",102.5178,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",103.4252,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2013M12_100","2013M12=100",107.0502,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2013M12_100","2013M12=100",110.764,,
"USA","United States","CP010000","CPI: 01 - Food and non-Alcoholic beverages","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2013M12_100","2013M12=100",123.4342,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",94.65063,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.19475,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",99.51391,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",100.6112,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",101.0088,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.97731,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",99.60408,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",99.92992,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",99.01496,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",94.60566,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",96.87054,,
"USA","United States","CP030000","CPI: 03 - Clothing and footwear","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",102.1163,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2010","2010","IDX","Index","0","Units","2013M12_100","2013M12=100",93.36075,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2011","2011","IDX","Index","0","Units","2013M12_100","2013M12=100",95.38934,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2012","2012","IDX","Index","0","Units","2013M12_100","2013M12=100",96.99558,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2013","2013","IDX","Index","0","Units","2013M12_100","2013M12=100",99.01917,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2014","2014","IDX","Index","0","Units","2013M12_100","2013M12=100",100.9895,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2013M12_100","2013M12=100",102.726,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2013M12_100","2013M12=100",105.0721,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2013M12_100","2013M12=100",108.7657,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2013M12_100","2013M12=100",111.6062,,
"USA","United States","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2013M12_100","2013M12=100",115.2343,,
